Layer,Prior,Encoder,Iteration,Train_loss,Test_loss,Train_RE,Test_RE,Train_KL,Test_KL,Time,Weights,FID_score
conv,Flow6,NormalTrue,2,-32.1646,-31.743,10.9113,11.2149,43.0759,42.9579,2.638906,10025,47.047352087174374
conv,Flow6,NormalTrue,3,-32.1334,-31.7127,10.9486,11.267,43.082,42.9798,2.64093,10025,41.017763463056895
conv,Flow6,NormalTrue,4,-32.5552,-32.1394,10.5271,10.8325,43.0823,42.9719,2.641388,10025,32.68221230397296
conv,Flow6,NormalTrue,5,-32.6036,-32.3523,10.4484,10.6051,43.052,42.9574,2.641608,10025,41.928681341030426
conv,Flow6,RandomNetTrue,1,-27.8044,-27.1971,15.2322,15.6898,43.0366,42.8869,2.197262,9938,38.249125867694545
conv,Flow6,RandomNetTrue,2,-24.8645,-23.9563,18.1925,18.9864,43.057,42.9427,2.1982180000000002,9938,37.423981144630574
conv,Flow6,RandomNetTrue,3,-25.6182,-24.6933,17.4156,18.2228,43.0339,42.9161,2.202246,9938,32.236654402665295
conv,Flow6,RandomNetTrue,4,-24.8846,-23.7093,18.1538,19.1741,43.0384,42.8834,2.194894,9938,36.910163894256414
conv,Flow6,RandomNetTrue,5,-28.1325,-27.5707,14.8962,15.3134,43.0286,42.8842,2.19893,9938,51.64063589067234
conv,Flow6,RandomNetFalse,1,-5.9803,-4.1714,35.4746,37.2393,41.4549,41.4107,2.11218,9900,119.7150327310336
conv,Flow6,RandomNetFalse,2,-13.8629,-12.0768,27.3993,29.0419,41.2622,41.1187,2.110585,9900,70.79991352872918
conv,Flow6,RandomNetFalse,3,-10.1192,-7.9273,31.1175,33.1378,41.2367,41.0651,2.110535,9900,82.77181516741337
conv,Flow6,RandomNetFalse,4,-14.3306,-12.3305,27.0227,28.9322,41.3532,41.2627,2.12286,9900,71.34069978057101
conv,Flow6,RandomNetFalse,5,-18.5324,-17.1934,22.3155,23.3319,40.8479,40.5253,2.1137425,9900,46.23349259326213
conv,Flow6,RKSFalse,1,-15.366,-12.8299,24.5512,25.8471,39.9172,38.677,2.071018,9900,75.98275873202545
conv,Flow6,RKSFalse,2,-15.4945,-12.5536,24.5895,26.5197,40.084,39.0734,2.067634,9900,45.426187712093025
conv,Flow6,RKSFalse,3,-14.8441,-11.9489,25.1227,26.8621,39.9668,38.811,2.057824,9900,58.50000215783709
conv,Flow6,RKSFalse,4,-17.2298,-14.2881,22.639,24.2452,39.8688,38.5334,2.0615740000000002,9900,51.14701052687997
conv,Flow6,RKSFalse,5,-17.5532,-14.9118,22.2555,23.6803,39.8086,38.592,2.0599119999999997,9900,55.39919636942011
fc,Normal2,NormalTrue,1,6.5291,9.7893,4.692,7.9513,-1.8371,-1.838,0.7067840000000001,10256,94.25845056648583
fc,Normal2,NormalTrue,2,6.5376,9.8093,4.7055,7.9838,-1.8321,-1.8254,0.70525,10256,95.22323530749955
fc,Normal2,NormalTrue,3,6.5431,9.828,4.7128,8.0043,-1.8303,-1.8236,0.69962,10256,87.79359846647225
fc,Normal2,NormalTrue,4,6.5463,9.9267,4.7131,8.0739,-1.8332,-1.8528,0.703596,10256,92.74083264372712
